id,destination_name,city,state_region,country,category,description,best_time_to_visit,average_budget,safety_score,popularity_score,latitude,longitude,image_url
328ede61-f6ab-40b9-b4db-fbf2d2b30771,Goa,Goa,Goa,India,beach,Stunning coastal destination with golden sands and azure waters.,Oct-Mar,8819,8.5,6.2,15.2633,74.0842,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
112400c1-6709-4b51-a4ac-dd0bc245dfa8,Manali,Manali,Himachal Pradesh,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Year-round,6424,7.9,5.2,32.199,77.162,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
4ca2061d-7d46-42c0-9c2b-06963bbd7b1a,Shimla,Shimla,Himachal Pradesh,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Year-round,5434,7.7,8.4,31.1249,77.1654,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
e35792c5-e82a-4730-95c7-19b72255464c,Dharamshala,Dharamshala,Himachal Pradesh,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Jul-Sep,14654,6.6,9.2,32.2449,76.2894,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
965fb6b4-a1d6-4059-bd1d-f5a7e5427a70,Kasol,Kasol,Himachal Pradesh,India,village,Charming rustic village with authentic local culture.,Jul-Sep,4787,6.6,6.0,32.0384,77.2747,https://images.unsplash.com/photo-1464822759023-fed622ff2c3b?w=800
2b6cbbe0-efde-41c5-b64a-20e51056ce52,Spiti Valley,Spiti Valley,Himachal Pradesh,India,adventure,"Thrilling destination for trekking, skiing, and adventure sports.",Jul-Sep,11169,6.9,6.7,32.2226,77.9901,https://images.unsplash.com/photo-1551632811-561732d1e306?w=800
06f887c9-1991-4bcb-bfc5-150cf96966af,Dalhousie,Dalhousie,Himachal Pradesh,India,hill_station,Scenic mountain retreat with breathtaking valley views.,Jul-Sep,13785,6.0,9.4,32.4962,75.9554,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
951f0bf6-08e2-4848-b6db-0c8aa3c71078,Jaipur,Jaipur,Rajasthan,India,heritage,Historic destination with ancient monuments and architectural marvels.,Year-round,20507,8.9,7.8,26.9329,75.7419,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
e4d41dd8-967b-4b94-ad93-0876a1381203,Jodhpur,Jodhpur,Rajasthan,India,heritage,Historic destination with ancient monuments and architectural marvels.,Nov-Feb,18665,6.7,5.4,26.2122,72.9844,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
f78d2611-1339-40fc-9ef1-db1997431052,Udaipur,Udaipur,Rajasthan,India,heritage,Historic destination with ancient monuments and architectural marvels.,Apr-Jun,13428,8.0,6.8,24.5724,73.6835,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
