id,place_name,city,state,country,category,description,estimated_cost,crowd_level,best_time_to_visit,traveler_type,latitude,longitude,image_url
01993a40-fb14-4391-a81a-4920e9878ba1,Secret Garden of Andaman,Andaman,Andaman,India,nature,"A pristine natural spot rarely visited — pure air, lush greenery, and tranquility.",150,medium,Early Morning,solo,34.4377,70.9635,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800
5d1f1fe4-2c70-4e03-9ad5-67a856a145aa,Delphi Panorama Point,Delphi,Greece,Sri Lanka,viewpoint,A hidden hilltop viewpoint offering breathtaking panoramic vistas most tourists miss.,400,medium,Monsoon,"family,solo",-24.1966,20.8198,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800
f94c9a4c-e014-4694-b1d6-9c449bde1e8e,Canggu Secluded Shore,Canggu,Bali,Morocco,beach,"A secluded beach hidden from mainstream tourists — crystal waters, untouched sands, and peaceful surroundings.",400,medium,Oct–Mar,"solo,couple",40.4854,138.6899,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
921b7118-bbc8-439f-bd66-331d97016913,Untouched Sands of Ninh Binh,Ninh Binh,Vietnam,Australia,beach,"A secluded beach hidden from mainstream tourists — crystal waters, untouched sands, and peaceful surroundings.",400,low,Sunset,family,61.7796,-14.2747,https://images.unsplash.com/photo-1507525428034-b723cf961d3e?w=800
0be9cb85-0fe4-42f9-acda-bb1a0692776d,Sigiriya Sacred Grove,Sigiriya,Sri Lanka,Portugal,nature,"A pristine natural spot rarely visited — pure air, lush greenery, and tranquility.",1000,low,Oct–Mar,friends,-38.1334,-86.0153,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800
493c4dda-84ea-4a79-8484-be184792a675,Spiti Sacred Grove,Spiti,Himachal Pradesh,India,nature,"A pristine natural spot rarely visited — pure air, lush greenery, and tranquility.",1500,medium,Monsoon,"friends,backpacker,couple",9.0775,89.9882,https://images.unsplash.com/photo-1441974231531-c6227db76b6e?w=800
2b1afee6-d493-4f03-aceb-dcb0618fafe2,Hidden Temple in Darjeeling,Darjeeling,West Bengal,India,historical,A forgotten historical site with rich stories and minimal crowds.,2000,low,Nov–Feb,solo,18.5604,91.0312,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
c0d852c9-49e2-4d0b-9fb6-bbb5a1ef32b7,Forgotten Fort of Gokarna,Gokarna,Karnataka,India,historical,A forgotten historical site with rich stories and minimal crowds.,750,low,Apr–Jun,solo,25.6268,73.8971,https://images.unsplash.com/photo-1524492412937-b28074a5d7da?w=800
515535f0-3bc3-4186-b034-4e3d498d8ace,Offbeat Trek to Andaman,Andaman,Andaman,India,trek,An offbeat trekking trail offering panoramic views with very few other hikers.,300,low,Apr–Jun,"solo,friends",18.0139,75.2701,https://images.unsplash.com/photo-1551632811-561732d1e306?w=800
83397c60-bdb4-4970-9fef-7da6e893f755,Secret Summit Trail of Positano,Positano,Italy,Jordan,trek,An offbeat trekking trail offering panoramic views with very few other hikers.,750,low,Year-round,"couple,family,solo",42.9043,-112.9362,https://images.unsplash.com/photo-1551632811-561732d1e306?w=800
